"DateTime","valvePos","Campbell","Aerodyne","LosGatos","AeroExcess_Avg"
2016-03-22 18:06:02,4,"Chm8","N2OF","Chm3",-210.8
2016-03-22 18:06:04,4,"Chm8","ABGD","Chm3",73.67
2016-03-22 18:08:05,4,"Chm8","Chm8","Chm3",-143.4
2016-03-22 18:10:16,4,"Chm1","Chm2","Chm3",-117.8
2016-03-22 18:12:17,4,"Chm8","Chm8","Chm3",-139.2
2016-03-22 18:14:18,4,"Chm1","Chm2","Chm3",56.69
2016-03-22 18:16:19,4,"Chm8","Chm8","Chm3",-139.2
2016-03-22 18:18:20,4,"Chm1","Chm2","Chm3",-117
2016-03-22 18:20:21,4,"Chm8","ABGD","Chm4",108.8
2016-03-22 18:22:22,4,"Chm8","Chm8","Chm4",-143.4
2016-03-22 18:24:33,4,"Chm2","Chm3","Chm4",-116.1
2016-03-22 18:26:34,4,"Chm8","Chm8","Chm4",-140.7
2016-03-22 18:28:35,4,"Chm2","Chm3","Chm4",-116.6
2016-03-22 18:30:36,4,"Chm8","Chm8","Chm4",-140.3
2016-03-22 18:32:37,4,"Chm2","Chm3","Chm4",-115.8
2016-03-22 18:34:38,4,"Chm8","ABGD","Chm5",116.2
2016-03-22 18:36:39,4,"Chm8","Chm8","Chm5",-144.1
2016-03-22 18:38:50,4,"Chm3","Chm4","Chm5",-133.7
2016-03-22 18:40:51,4,"Chm8","Chm8","Chm5",-158.7
2016-03-22 18:42:52,4,"Chm3","Chm4","Chm5",-149.7
2016-03-22 18:44:53,4,"Chm8","Chm8","Chm5",-152.3
2016-03-22 18:46:54,4,"Chm3","Chm4","Chm5",-129.2
2016-03-22 18:48:55,4,"Chm8","CAL1","Chm6",43.06
2016-03-22 18:50:56,4,"Chm8","CAL0","Chm6",-206.7
2016-03-22 18:50:58,4,"Chm8","ABGD","Chm6",94.8
2016-03-22 18:52:59,4,"Chm8","Chm8","Chm6",-143.9
2016-03-22 18:55:10,4,"Chm4","Chm5","Chm6",-124
2016-03-22 18:57:11,4,"Chm8","Chm8","Chm6",-123.5
2016-03-22 18:59:12,4,"Chm4","Chm5","Chm6",-135.1
2016-03-22 19:01:13,4,"Chm8","Chm8","Chm6",-120.4
2016-03-22 19:03:14,4,"Chm4","Chm5","Chm6",-124
2016-03-22 19:05:15,4,"Chm8","ABGD","Chm7",94.1
2016-03-22 19:07:16,4,"Chm8","Chm8","Chm7",-143.6
2016-03-22 19:09:27,4,"Chm5","Chm6","Chm7",-119.8
2016-03-22 19:11:28,4,"Chm8","Chm8","Chm7",-158.7
2016-03-22 19:13:29,4,"Chm5","Chm6","Chm7",-127.5
2016-03-22 19:15:30,4,"Chm8","Chm8","Chm7",-116.6
2016-03-22 19:17:31,4,"Chm5","Chm6","Chm7",-124
2016-03-22 19:19:32,4,"Chm8","ABGD","Chm1",106
2016-03-22 19:21:33,4,"Chm8","Chm8","Chm1",-143.9
2016-03-22 19:23:44,4,"Chm6","Chm7","Chm1",56.68
2016-03-22 19:25:45,4,"Chm8","Chm8","Chm1",-117.3
2016-03-22 19:27:46,4,"Chm6","Chm7","Chm1",-126.3
2016-03-22 19:29:47,4,"Chm8","Chm8","Chm1",-118.5
2016-03-22 19:31:48,4,"Chm6","Chm7","Chm1",-130.2
2016-03-22 19:33:49,4,"Chm8","ABGD","Chm2",103.5
2016-03-22 19:35:50,4,"Chm8","Chm8","Chm2",-144.1
2016-03-22 19:38:01,4,"Chm7","Chm1","Chm2",56.2
2016-03-22 19:40:02,4,"Chm8","Chm8","Chm2",-139.6
2016-03-22 19:42:03,4,"Chm7","Chm1","Chm2",-109.4
2016-03-22 19:44:04,4,"Chm8","Chm8","Chm2",-139.6
2016-03-22 19:46:05,4,"Chm7","Chm1","Chm2",-110.3
2016-03-22 19:48:06,4,"Chm8","Chm8","Chm8",-139.4
2016-03-22 19:48:08,4,"Chm8","CAL1","Chm3",39.85
2016-03-22 19:50:09,4,"Chm8","CAL0","Chm3",-206.2
2016-03-22 19:50:12,4,"Chm8","N2ON","Chm3",78.15
2016-03-22 19:52:13,4,"Chm8","N2OF","Chm3",-212
2016-03-22 19:52:15,4,"Chm8","ABGD","Chm3",83
2016-03-22 19:54:16,4,"Chm8","Chm8","Chm3",-143.6
2016-03-22 19:56:27,4,"Chm1","Chm2","Chm3",-118.3
2016-03-22 19:58:28,4,"Chm8","Chm8","Chm3",-139.4
2016-03-22 20:00:29,4,"Chm1","Chm2","Chm3",56.2
2016-03-22 20:02:30,4,"Chm8","Chm8","Chm3",-139.9
2016-03-22 20:04:31,4,"Chm1","Chm2","Chm3",-117.9
2016-03-22 20:06:32,4,"Chm8","ABGD","Chm4",99.2
2016-03-22 20:08:33,4,"Chm8","Chm8","Chm4",-144.6
